time,CO02KUBE,CO05KUBE,CO00DRBE,CO08GOBE,CO94HEAQ,CO00FERA,CO96SWBB,CO96SWFB,CO99SWFB,CO98CHPI,CO17LITW01A,CO18RELC01A,CO17XISC01A,CO17DESC04A,CO17DESC01A,CO17DESC02A,CO17DESC03A,CO13DESC01A,CO17RAPA,CO17RAPA,CO08KIPR,CO06MOPE,CO10HEIG,CO13CABL,CO13CAHN,CO13CAHN,CO05ASGU,CO17WUBO1A,CO08HEVE,CO06MOTO,CO14WUCL,CO99LICL,CO94LISE,CO14OSPA,CO14OSPA,CO03COPM,CO11NUPM,CO13COTB,CO09NUTB,CO14CABT,CO98EVXM,CO98SWPR,CO13COXM,CO93COTW,CO00URMA,CO08ABSU,CO94DUUR,CO99GUMI,CO92SHPU,CO03CHBU,CO15ABSP,CO09NAKY,CO00COKY,CO04MGNG,CO06QUNG,CO97CHSY,CO01TUNG,CO01TUNG,CO95TUNG,CO17MUMA,CO04PFCH,CO06DATZ,CO03CHBA,CO14CATI,CO13HENG,CO13HENG,CO13HENG,CO18HECO01A,CO18HECO01B,CO96QUVA,CO04KIVA,CO12GOVA,CO06LIFI,CO05BAFI,CO04LIFI,CO04BAFI,CO98BOFP,CO07CAFR,CO18DATO01A,CO04PFRE,CO04LIRA,CO00KUNI,CO99DRGB,CO98QUNC,CO04ZIMG,CO14ZIMG,CO14ZIMG,CO14ZIHO,CO99KUHO
1850-02-01 00:00:00,294.40646,294.40646,294.40646,295.29642,281.87036,289.84332,296.6311,296.6311,296.6311,293.29376,295.4238,299.39767,291.41403,291.41403,291.41403,291.41403,291.41403,291.41403,296.56738,296.56738,298.35068,295.1721,298.40076,298.24722,298.24722,298.24722,300.36908,297.91415,297.91415,298.03152,298.87204,298.87204,298.21652,301.5215,301.5215,300.9088,300.9088,299.8286,299.8286,300.91214,297.82962,300.50345,297.82962,300.579,300.579,301.1423,298.61334,301.25204,298.61334,301.88928,300.81427,299.19812,299.19812,300.65347,301.48666,300.66888,297.0516,297.0516,297.0516,301.16565,300.8396,300.239,300.56158,301.61484,301.2063,301.2063,301.2063,300.10754,300.10754,302.0557,301.04004,300.78348,301.91367,301.91367,301.91367,301.91367,301.10126,299.43665,299.9904,299.32782,298.38687,303.25812,298.33417,298.37268,301.40082,301.40082,301.40082,294.89993,300.2588
1850-03-01 00:00:00,293.85034,293.85034,293.85034,294.7541,285.0698,291.76193,296.22546,296.22546,296.22546,293.63156,294.82263,298.87195,291.47714,291.47714,291.47714,291.47714,291.47714,291.47714,295.85162,295.85162,298.0228,294.92276,297.9302,298.10077,298.10077,298.10077,299.86877,297.66574,297.66574,297.802,298.20306,298.20306,298.98972,301.04153,301.04153,300.5258,300.5258,299.71738,299.71738,300.41492,298.0278,300.9119,298.0278,300.18616,300.18616,301.06906,299.4546,300.8361,299.4546,301.64526,300.84918,300.46722,300.46722,300.81244,302.0837,299.94803,297.3199,297.3199,297.3199,301.1842,300.53018,299.67712,300.46286,301.4286,301.69537,301.69537,301.69537,300.78284,300.78284,302.34946,301.63538,301.3913,302.0841,302.0841,302.0841,302.0841,301.49112,299.89325,300.6613,299.90497,299.52786,302.18317,298.60147,299.23993,301.65378,301.65378,301.65378,297.05145,300.68106
1850-04-01 00:00:00,293.72324,293.72324,293.72324,294.6082,286.60175,292.30515,296.57797,296.57797,296.57797,300.09973,295.36578,298.9118,294.67804,294.67804,294.67804,294.67804,294.67804,294.67804,296.1303,296.1303,298.40295,295.40405,297.90594,298.34164,298.34164,298.34164,299.65268,297.6961,297.6961,298.14783,298.33347,298.33347,298.99182,301.12903,301.12903,300.7707,300.7707,300.32413,300.32413,300.6117,298.75742,301.19525,298.75742,300.14108,300.14108,301.14322,299.8004,300.7895,299.8004,301.40872,300.90884,301.24744,301.24744,301.1369,301.8718,300.13226,297.5012,297.5012,297.5012,301.2388,300.82367,300.52777,300.4061,301.30957,302.21298,302.21298,302.21298,300.65726,300.65726,302.5935,301.96777,301.87842,301.94012,301.94012,301.94012,301.94012,301.80978,300.63156,300.58182,299.8399,300.3799,302.3802,299.1633,299.06628,301.552,301.552,301.552,296.72818,297.82236
1850-05-01 00:00:00,294.15396,294.15396,294.15396,295.06537,294.618,297.85547,297.87286,297.87286,297.87286,303.62354,296.8771,299.83237,297.65927,297.65927,297.65927,297.65927,297.65927,297.65927,297.48184,297.48184,299.4078,295.5938,298.49786,300.28302,300.28302,300.28302,299.92178,298.1637,298.1637,298.75714,299.0831,299.0831,299.7907,301.27518,301.27518,300.82297,300.82297,300.72693,300.72693,300.82938,299.17145,301.8701,299.17145,300.30637,300.30637,301.37347,300.3672,300.92493,300.3672,301.374,301.01172,302.33157,302.33157,301.05896,301.64066,301.275,297.41782,297.41782,297.41782,301.13742,301.07733,300.68808,300.38782,301.0733,302.01266,302.01266,302.01266,301.00748,301.00748,302.55206,301.77747,301.7123,301.16855,301.16855,301.16855,301.16855,301.54773,299.8876,299.99045,299.60263,299.7047,302.19052,298.26666,299.21884,300.06317,300.06317,300.06317,296.74286,295.80536
1850-06-01 00:00:00,294.73712,294.73712,294.73712,295.78906,301.45914,302.48984,299.452,299.452,299.452,304.47952,299.02933,300.8841,300.9907,300.9907,300.9907,300.9907,300.9907,300.9907,299.40002,299.40002,300.01672,295.76544,299.16003,301.1385,301.1385,301.1385,300.61124,298.81924,298.81924,299.1671,300.47275,300.47275,299.63992,301.64322,301.64322,301.13107,301.13107,301.355,301.355,301.43427,300.11673,301.7956,300.11673,301.00644,301.00644,301.94614,299.12805,301.37225,299.12805,301.77768,301.5906,299.63586,299.63586,300.88696,301.19183,301.65533,297.11502,297.11502,297.11502,300.87326,301.84714,299.5495,300.10757,300.1907,300.50928,300.50928,300.50928,300.6239,300.6239,301.34778,300.3612,300.1541,300.9229,300.9229,300.9229,300.9229,301.13297,298.19336,299.20343,298.8484,298.4774,299.07065,296.45172,297.9338,298.62628,298.62628,298.62628,295.71423,293.62155
1850-07-01 00:00:00,296.7453,296.7453,296.7453,297.76553,306.2965,307.15613,300.98914,300.98914,300.98914,303.13025,300.98373,301.17194,300.61276,300.61276,300.61276,300.61276,300.61276,300.61276,300.30322,300.30322,300.16736,296.71014,299.28677,300.913,300.913,300.913,301.08282,298.9418,298.9418,299.34366,301.23984,301.23984,299.10123,302.04123,302.04123,301.03735,301.03735,301.37848,301.37848,301.7537,300.587,301.6168,300.587,301.54755,301.54755,301.82062,298.57556,301.9383,298.57556,301.8226,301.0227,297.56207,297.56207,300.5989,301.06555,300.81705,296.66675,296.66675,296.66675,300.15485,301.7174,298.19876,299.05267,299.1392,299.12912,299.12912,299.12912,299.90613,299.90613,299.50467,298.4865,298.23306,299.42407,299.42407,299.42407,299.42407,300.16763,296.5935,297.90976,297.31885,296.9522,295.98752,294.832,296.06137,297.399,297.399,297.399,294.72104,291.1454
1850-08-01 00:00:00,298.44128,298.44128,298.44128,299.1971,307.96152,309.12558,301.8289,301.8289,301.8289,303.4174,301.33862,301.56982,300.9645,300.9645,300.9645,300.9645,300.9645,300.9645,300.78992,300.78992,300.49393,297.3008,299.63132,300.8282,300.8282,300.8282,301.5965,299.3467,299.3467,299.94577,301.40833,301.40833,299.07678,301.7168,301.7168,301.50223,301.50223,301.54483,301.54483,302.16678,300.3354,300.81906,300.3354,302.05194,302.05194,300.30316,297.71442,302.2678,297.71442,301.23395,299.3867,296.60187,296.60187,300.06454,299.73026,299.42728,295.89185,295.89185,295.89185,299.61285,301.31195,297.03122,298.42087,298.4478,298.50046,298.50046,298.50046,299.16553,299.16553,299.13425,298.13943,297.8437,298.82904,298.82904,298.82904,298.82904,299.34476,295.36246,296.9348,295.91522,295.93884,295.03357,293.79886,295.15955,296.43646,296.43646,296.43646,293.77985,290.57782
1850-09-01 00:00:00,299.74332,299.74332,299.74332,300.36072,305.69836,308.24643,301.87244,301.87244,301.87244,301.42053,301.36514,301.95767,300.24866,300.24866,300.24866,300.24866,300.24866,300.24866,300.88034,300.88034,300.5343,297.9203,300.0652,301.169,301.169,301.169,301.18613,299.79437,299.79437,300.54623,301.72278,301.72278,299.53278,301.22314,301.22314,301.84613,301.84613,301.35458,301.35458,302.42944,299.55145,299.79932,299.55145,302.16986,302.16986,299.0527,296.69403,302.5209,296.69403,300.7047,297.87637,296.00037,296.00037,300.1055,299.0314,299.02374,295.7017,295.7017,295.7017,299.30124,301.13562,296.61374,298.15906,297.99844,298.22775,298.22775,298.22775,298.1728,298.1728,299.08636,298.13715,297.90662,298.83594,298.83594,298.83594,298.83594,298.73184,294.73312,296.39865,295.03323,295.5262,295.04907,293.38354,294.9035,296.15228,296.15228,296.15228,292.98138,290.5662
1850-10-01 00:00:00,300.0945,300.0945,300.0945,300.71503,304.19495,306.78378,301.33163,301.33163,301.33163,301.5836,301.48868,301.83585,300.20892,300.20892,300.20892,300.20892,300.20892,300.20892,301.2535,301.2535,300.66208,299.21872,300.41696,301.24527,301.24527,301.24527,301.6395,300.10504,300.10504,300.39536,302.00793,302.00793,299.42484,301.10324,301.10324,301.9069,301.9069,300.89703,300.89703,302.13745,298.6478,299.0429,298.6478,301.52753,301.52753,299.14456,296.9187,302.19287,296.9187,300.80704,297.79672,296.0749,296.0749,299.83374,298.9475,299.1574,295.65692,295.65692,295.65692,299.631,300.80502,297.08676,298.56558,298.34195,298.09753,298.09753,298.09753,297.5322,297.5322,299.11353,297.93454,297.6184,299.00574,299.00574,299.00574,299.00574,299.09686,294.85504,296.60254,294.6225,295.94775,296.92105,293.48734,294.81073,296.54755,296.54755,296.54755,292.35358,291.43854
1850-11-01 00:00:00,298.53113,298.53113,298.53113,299.44513,299.21143,303.69315,300.70743,300.70743,300.70743,301.24832,300.7474,302.0086,299.16058,299.16058,299.16058,299.16058,299.16058,299.16058,301.00983,301.00983,300.6943,299.4911,300.4099,301.31046,301.31046,301.31046,301.8265,299.97528,299.97528,299.77307,301.627,301.627,299.3395,301.1642,301.1642,302.00253,302.00253,300.82233,300.82233,301.7505,298.88828,299.31607,298.88828,301.3181,301.3181,299.07077,297.77197,301.9108,297.77197,301.27206,298.32336,296.6567,296.6567,300.03537,300.3573,299.9052,295.8963,295.8963,295.8963,300.44644,300.35663,297.9221,299.369,299.25235,298.93277,298.93277,298.93277,297.50674,297.50674,299.81848,298.7532,298.519,299.05005,299.05005,299.05005,299.05005,299.34747,295.66623,296.6485,295.19034,296.1682,298.903,294.32718,295.58737,298.6646,298.6646,298.6646,292.19705,293.33832
