record,resolution,duration,archive,lat,lon,infMat,var,interp,season,start_year,end_year,site,pub
CO17XISC01A,0.993006993,142,Coral,19.395,110.7531,surface seawater,d18O,Temperature,annual,167,309,Hainan Island,"Xiao, H., Deng, W., Chen, X., Wei, G., Zeng, T. and Zhao, J.: Wet and cold climate conditions recorded by coral geochemical proxies during the beginning of the first millennium CE in the northern South China Sea, Journal of Asian Earth Sciences, 135, 25–34, doi:10.1016/j.jseaes.2016.12.012, 2017."
CO13COXM,0.083187614,45.67,Coral,1.52,-157.24,surface seawater,d18O,Temperature,subannual,388.62,434.29,"Kiritimati Island, Line Islands, Kiribati","Cobb, K. M., Westphal, N., Sayani, H. R., Watson, J. T., Di Lorenzo, E., Cheng, H., Edwards, R. L. and Charles, C. D.: Highly Variable El Nino–Southern Oscillation Throughout the Holocene, Science, 339(6115), 67–70, doi:10.1126/science.1228246, 2013."
CO03COPM,0.206291442,1070.24,Coral,5.87,-162.13,surface seawater,d18O,Temperature,subannual,928.13,1998.37,Palmyra (composite),"Cobb, K. M., Charles, C. D., Cheng, H. and Edwards, R. L.: El Nino/Southern Oscillation and tropical Pacific climate during the last millennium, Nature, 424(6946), 271–276, doi:10.1038/nature01779, 2003."
CO17DESC02A,0.96,24,Coral,19.301,110.662,surface seawater,d18O,EffectiveMoisture,annual,1063,1087,Hainan Island,"Deng, W., Liu, X., Chen, X., Wei, G., Zeng, T., Xie, L. and Zhao, J.: A comparison of the climates of the Medieval Climate Anomaly, Little Ice Age, and Current Warm Period reconstructed using coral records from the northern South China Sea, Journal of Geophysical Research: Oceans, 122(1), 264–275, doi:10.1002/2016jc012458, 2017."
CO17DESC01A,0.992125984,126,Coral,19.308,110.667,surface seawater,d18O,EffectiveMoisture,annual,1129,1255,Hainan Island,"Deng, W., Liu, X., Chen, X., Wei, G., Zeng, T., Xie, L. and Zhao, J.: A comparison of the climates of the Medieval Climate Anomaly, Little Ice Age, and Current Warm Period reconstructed using coral records from the northern South China Sea, Journal of Geophysical Research: Oceans, 122(1), 264–275, doi:10.1002/2016jc012458, 2017."
CO13HENG,0.092307692,166.8,Coral,-10.6907,152.8115,surface seawater,d18O,EffectiveMoisture,subannual,1411.625,1578.425,"Misima Island, Papua New Guinea","Hereid, K. A., Quinn, T. M., Taylor, F. W., Shen, C.-C., Lawrence Edwards, R. and Cheng, H.: Coral record of reduced El Nino activity in the early 15th to middle 17th centuries, Geology, 41(1), 51–54, doi:10.1130/g33510.1, 2012."
CO02KUBE,0.083251714,85,Coral,32.47,-64.7,surface seawater,d18O,Temperature,subannual,1519.21,1604.21,"North East Breakers, Bermuda","Kuhnert, H., Paetzold, J., Schnetger, B. and Wefer, G.: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records, Palaeogeography, Palaeoclimatology, Palaeoecology, 179(3-4), 159–171, doi:10.1016/s0031-0182(01)00410-2, 2002."
CO13HENG,0.080809222,89.375,Coral,-10.6907,152.8115,surface seawater,d18O,EffectiveMoisture,subannual,1555.375,1644.75,"Misima Island, Papua New Guinea","Hereid, K. A., Quinn, T. M., Taylor, F. W., Shen, C.-C., Lawrence Edwards, R. and Cheng, H.: Coral record of reduced El Nino activity in the early 15th to middle 17th centuries, Geology, 41(1), 51–54, doi:10.1130/g33510.1, 2012."
CO94DUUR,1.002680965,374,Coral,-0.4084,-91.234,surface seawater,d18O,Temperature,subannual,1607,1981,"Urvina Bay, Galapagos Islands","Dunbar, R. B., Wellington, G. M., Colgan, M. W. and Glynn, P. W.: Eastern Pacific sea surface temperature since 1600 A.D.: The d18O record of climate variability in Galapagos Corals, Paleoceanography, 9(2), 291–315, doi:10.1029/93pa03501, 1994."
CO06LIFI,0.997402597,384,Coral,-16.8167,179.2333,surface seawater,d18O,Temperature,annual,1617.5,2001.5,"Savusavu Bay, Fiji","Linsley, B. K., Kaplan, A., Gouriou, Y., Salinger, J., deMenocal, P. B., Wellington, G. M. and Howe, S. S.: Tracking the extent of the South Pacific Convergence Zone since the early 1600s, Geochemistry, Geophysics, Geosystems, 7(5), n/a–n/a, doi:10.1029/2005gc001115, 2006."
