record,lat,lon,site
CO98SWPR,1.6667,7.5833,"Principe, Gulf of Guinea"
CO06MOPE,16.75,-22.8883,"Pedra de Lume, Cape Verde Islands"
CO06MOTO,11.17,-60.85,"Buccoo Reef, Tobago"
CO10HEIG,16.2,-61.49,Guadeloupe
CO02KUBE,32.47,-64.7,"North East Breakers, Bermuda"
CO05KUBE,32.467,-64.7,"North East Breakers, Bermuda"
CO00DRBE,32.3,-64.7,"Northeast Breakers, Bermuda"
CO08GOBE,30.6486,-64.9888,Bermuda south shore
CO08HEVE,11.77,-66.75,"Cayo Sal, Los Roques Archipelago, Venezuela"
CO08KIPR,17.933,-67.001,"Turrumote Reef, La Parguera, Puerto Rico"
CO17WUBO1A,12.222,-68.3998,Northwestern shore
CO13CAHN,16.0644,-86.9508,"Diamond Caye, Utila, Honduras"
CO13CAHN,16.0644,-86.9508,"Diamond Caye, Utila, Honduras"
CO13CABL,16.1292,-88.2497,Belize
CO99LICL,10.2773,-109.2131,Clipperton Atoll
CO14WUCL,10.3,-109.22,Clipperton Atoll
CO13COXM,1.52,-157.24,"Kiritimati Island, Line Islands, Kiribati"
CO98EVXM,1.6792,-157.2473,Kiritimati
CO09NUTB,3.9062,-159.2859,Fanning Island
CO13COTB,3.9062,-159.2859,Fanning Island (composite)
CO03COPM,5.87,-162.13,Palmyra (composite)
CO11NUPM,5.87,-162.13,Palmyra
