time,CO02KUBE,CO05KUBE,CO00DRBE,CO08GOBE,CO94HEAQ,CO00FERA,CO96SWBB,CO96SWFB,CO99SWFB,CO98CHPI,CO17LITW01A,CO18RELC01A,CO17XISC01A,CO17DESC04A,CO17DESC01A,CO17DESC02A,CO17DESC03A,CO13DESC01A,CO17RAPA,CO17RAPA,CO08KIPR,CO06MOPE,CO10HEIG,CO13CABL,CO13CAHN,CO13CAHN,CO05ASGU,CO17WUBO1A,CO08HEVE,CO06MOTO,CO14WUCL,CO99LICL,CO94LISE,CO14OSPA,CO14OSPA,CO03COPM,CO11NUPM,CO13COTB,CO09NUTB,CO14CABT,CO98EVXM,CO98SWPR,CO13COXM,CO93COTW,CO00URMA,CO08ABSU,CO94DUUR,CO99GUMI,CO92SHPU,CO03CHBU,CO15ABSP,CO09NAKY,CO00COKY,CO04MGNG,CO06QUNG,CO97CHSY,CO01TUNG,CO01TUNG,CO95TUNG,CO17MUMA,CO04PFCH,CO06DATZ,CO03CHBA,CO14CATI,CO13HENG,CO13HENG,CO13HENG,CO18HECO01A,CO18HECO01B,CO96QUVA,CO04KIVA,CO12GOVA,CO06LIFI,CO05BAFI,CO04LIFI,CO04BAFI,CO98BOFP,CO07CAFR,CO18DATO01A,CO04PFRE,CO04LIRA,CO00KUNI,CO99DRGB,CO98QUNC,CO04ZIMG,CO14ZIMG,CO14ZIMG,CO14ZIHO,CO99KUHO
1850-01-01 00:00:00,295.8302,295.8302,295.8302,296.77655,281.4913,290.2045,297.40726,297.40726,297.40726,293.27563,296.59293,299.8266,292.79413,292.79413,292.79413,292.79413,292.79413,292.79413,298.05887,298.05887,298.78607,296.52338,298.80023,298.73212,298.73212,298.73212,300.54324,298.279,298.279,298.01135,298.85425,298.85425,298.42627,302.19275,302.19275,301.2477,301.2477,299.98242,299.98242,300.38803,298.3265,299.90756,298.3265,299.97556,299.97556,301.12808,298.27908,300.56366,298.27908,302.59738,301.03036,299.27444,299.27444,301.03308,301.41428,300.25436,297.51822,297.51822,297.51822,302.21295,301.2309,300.6862,301.12033,302.616,301.458,301.458,301.458,299.42706,299.42706,301.1342,300.48068,300.4112,300.8904,300.8904,300.8904,300.8904,299.78583,299.76697,299.5505,298.14145,297.86343,304.33545,298.64413,298.1669,301.27173,301.27173,301.27173,294.0095,299.25757
1850-02-01 00:00:00,294.76965,294.76965,294.76965,295.71677,282.90018,290.44424,296.491,296.491,296.491,293.71902,295.1474,299.1503,290.15652,290.15652,290.15652,290.15652,290.15652,290.15652,296.46216,296.46216,298.06888,294.82938,297.84412,298.24515,298.24515,298.24515,299.9504,297.43622,297.43622,297.3826,298.05048,298.05048,298.034,301.54898,301.54898,300.71976,300.71976,299.6312,299.6312,300.03018,298.02344,300.18228,298.02344,299.53406,299.53406,300.9667,298.73453,300.1244,298.73453,302.163,300.73944,299.7368,299.7368,301.28076,301.39008,299.5934,297.79462,297.79462,297.79462,301.32828,300.85388,299.5702,300.83685,301.96475,301.9457,301.9457,301.9457,300.27832,300.27832,301.74484,301.05038,300.93478,301.59662,301.59662,301.59662,301.59662,301.00967,301.06506,300.5035,298.92026,299.2558,302.3099,299.8771,299.20914,302.50436,302.50436,302.50436,295.90503,300.41302
1850-03-01 00:00:00,293.81613,293.81613,293.81613,294.72958,285.72623,292.1428,296.3369,296.3369,296.3369,297.00034,294.5733,298.6663,291.477,291.477,291.477,291.477,291.477,291.477,295.7113,295.7113,297.84296,294.35724,297.3985,298.14145,298.14145,298.14145,299.6399,297.155,297.155,297.60898,298.0995,298.0995,298.41013,301.10382,301.10382,300.70013,300.70013,300.00262,300.00262,299.83597,298.2537,300.67612,298.2537,299.36328,299.36328,300.826,299.13736,300.0052,299.13736,301.4103,300.57407,300.67865,300.67865,301.1388,301.53702,299.5116,297.62372,297.62372,297.62372,300.9228,300.30807,299.9607,300.44427,301.53662,302.37842,302.37842,302.37842,299.6942,299.6942,302.6355,302.3197,302.35226,302.03955,302.03955,302.03955,302.03955,301.1105,301.68253,300.60126,299.41064,299.7958,301.99243,300.62344,300.79813,301.14175,301.14175,301.14175,298.3972,301.07718
1850-04-01 00:00:00,293.10272,293.10272,293.10272,294.05063,288.48532,293.6164,296.71866,296.71866,296.71866,299.228,295.4859,298.82205,295.26776,295.26776,295.26776,295.26776,295.26776,295.26776,296.0894,296.0894,298.08008,294.80212,297.25787,298.7006,298.7006,298.7006,299.3265,297.2196,297.2196,298.0002,298.67023,298.67023,298.6088,300.932,300.932,300.73978,300.73978,300.33228,300.33228,300.23752,298.76804,301.1596,298.76804,299.75262,299.75262,301.0304,299.73114,300.08112,299.73114,301.10574,300.53168,301.34103,301.34103,301.16196,301.31015,299.96396,297.5852,297.5852,297.5852,301.12067,300.21826,301.81363,300.3441,300.8915,302.47775,302.47775,302.47775,299.95898,299.95898,302.59958,302.57007,302.798,302.09653,302.09653,302.09653,302.09653,301.49185,301.73523,301.1899,299.44934,300.14658,301.4822,300.43402,300.8603,301.5633,301.5633,301.5633,297.9689,298.47382
1850-05-01 00:00:00,293.27698,293.27698,293.27698,294.18216,294.15677,297.589,297.31116,297.31116,297.31116,303.18344,297.28467,299.30118,298.84894,298.84894,298.84894,298.84894,298.84894,298.84894,297.77454,297.77454,298.47665,295.88214,297.65005,299.4404,299.4404,299.4404,299.36316,297.51242,297.51242,298.3571,299.72678,299.72678,299.02515,301.04785,301.04785,301.0744,301.0744,300.79684,300.79684,301.2059,299.32635,301.5847,299.32635,300.65338,300.65338,301.71835,299.78772,300.7657,299.78772,301.172,301.06876,301.26172,301.26172,300.6888,301.34912,301.1638,296.96667,296.96667,296.96667,301.18875,301.73795,302.16486,300.43573,300.63318,301.91586,301.91586,301.91586,299.9906,299.9906,302.27255,301.987,302.07764,301.83713,301.83713,301.83713,301.83713,301.57056,300.78085,300.79266,299.19095,299.51035,301.09338,299.50916,300.06805,300.30646,300.30646,300.30646,296.89206,296.14398
1850-06-01 00:00:00,294.9378,294.9378,294.9378,295.86487,301.10254,302.84113,299.6109,299.6109,299.6109,305.50525,298.9318,300.10916,299.59573,299.59573,299.59573,299.59573,299.59573,299.59573,299.42722,299.42722,298.89752,296.08176,298.07428,300.4188,300.4188,300.4188,300.1472,297.78186,297.78186,298.5761,300.1561,300.1561,299.11496,301.59628,301.59628,301.53113,301.53113,301.22504,301.22504,301.67017,299.7645,301.44345,299.7645,301.05597,301.05597,302.387,298.46594,301.31357,298.46594,301.6402,301.88693,298.48065,298.48065,300.95065,301.5399,301.78134,297.21133,297.21133,297.21133,301.27426,302.08554,299.24146,300.01816,300.3286,301.3548,301.3548,301.3548,300.08344,300.08344,301.91205,301.21402,301.07077,301.13416,301.13416,301.13416,301.13416,300.27536,299.09232,299.73532,298.03397,298.51495,298.94006,297.5104,298.59546,298.21832,298.21832,298.21832,295.80008,293.7741
1850-07-01 00:00:00,296.95483,296.95483,296.95483,297.72488,306.03192,306.75375,300.8037,300.8037,300.8037,303.30676,300.70987,300.87234,300.29422,300.29422,300.29422,300.29422,300.29422,300.29422,300.61374,300.61374,299.31122,295.89203,298.45184,300.75488,300.75488,300.75488,300.70782,298.16342,298.16342,298.81903,300.77643,300.77643,298.52216,301.61484,301.61484,301.5312,301.5312,301.43945,301.43945,302.1667,300.04486,301.4825,300.04486,301.56195,301.56195,302.4349,297.4088,301.7988,297.4088,301.6412,302.16473,296.9959,296.9959,300.72983,301.36005,300.36227,296.89856,296.89856,296.89856,300.54333,300.97684,297.74536,299.63544,299.44772,299.9422,299.9422,299.9422,300.04218,300.04218,300.70428,299.96695,299.84204,299.92575,299.92575,299.92575,299.92575,299.6075,297.3522,298.359,296.7317,297.25385,296.3538,295.6688,297.20358,296.90924,296.90924,296.90924,294.83157,291.29507
1850-08-01 00:00:00,298.42227,298.42227,298.42227,298.9642,307.88998,308.66232,301.34866,301.34866,301.34866,301.18405,301.70407,301.02597,300.84064,300.84064,300.84064,300.84064,300.84064,300.84064,301.0662,301.0662,299.67233,296.5432,298.8655,300.4094,300.4094,300.4094,301.56647,298.70422,298.70422,299.63007,301.28275,301.28275,298.724,301.66315,301.66315,301.6743,301.6743,301.28268,301.28268,302.03015,299.65738,300.5605,299.65738,301.69968,301.69968,302.18958,296.06586,302.14996,296.06586,301.433,301.50925,296.10123,296.10123,300.47345,300.29828,299.14127,296.38327,296.38327,296.38327,299.9633,300.86362,296.64206,298.78867,298.69595,299.18854,299.18854,299.18854,299.43466,299.43466,299.97595,298.9658,298.7459,299.13568,299.13568,299.13568,299.13568,299.02844,296.17337,297.22943,295.56058,296.0632,294.5494,294.62555,295.91953,295.9329,295.9329,295.9329,293.85706,290.37805
1850-09-01 00:00:00,299.50513,299.50513,299.50513,300.15826,306.86658,308.91208,301.6114,301.6114,301.6114,300.70837,301.57132,301.3265,300.24313,300.24313,300.24313,300.24313,300.24313,300.24313,300.9106,300.9106,300.23096,298.0635,299.6612,300.66153,300.66153,300.66153,302.05392,299.56543,299.56543,300.5446,301.4013,301.4013,299.03842,301.82935,301.82935,301.80103,301.80103,300.8055,300.8055,301.85162,298.85382,299.57394,298.85382,301.43243,301.43243,301.93964,294.93597,301.94128,294.93597,301.29227,300.9997,295.9455,295.9455,300.37805,299.5921,298.5371,296.45242,296.45242,296.45242,300.032,300.871,296.3803,298.87238,298.774,299.05746,299.05746,299.05746,298.42487,298.42487,299.43433,298.4886,298.3261,298.57974,298.57974,298.57974,298.57974,298.85165,295.80426,296.40756,294.82138,295.45798,295.7035,294.2727,295.43845,295.61325,295.61325,295.61325,292.98804,290.64282
1850-10-01 00:00:00,300.0945,300.0945,300.0945,300.55814,304.81918,307.0769,301.06314,301.06314,301.06314,301.16043,301.8007,301.60486,300.2011,300.2011,300.2011,300.2011,300.2011,300.2011,301.54337,301.54337,300.2907,298.96814,300.072,300.6392,300.6392,300.6392,302.56445,299.73462,299.73462,300.3242,301.53027,301.53027,299.09155,301.70978,301.70978,301.59827,301.59827,300.28278,300.28278,301.297,298.14807,298.7745,298.14807,300.70416,300.70416,301.90356,296.25058,301.16626,296.25058,301.4473,301.12018,296.1768,296.1768,300.32217,300.16162,298.94232,296.27792,296.27792,296.27792,300.30197,301.12506,296.93106,299.3363,299.2274,299.09543,299.09543,299.09543,297.9218,297.9218,299.35583,298.40292,298.23206,298.6489,298.6489,298.6489,298.6489,298.74036,296.14197,296.6184,294.45816,295.79788,297.74307,294.6425,295.1234,296.3875,296.3875,296.3875,292.4877,291.9598
1850-11-01 00:00:00,299.186,299.186,299.186,299.9516,295.27777,300.28793,300.42075,300.42075,300.42075,300.4585,299.28815,301.38397,297.7181,297.7181,297.7181,297.7181,297.7181,297.7181,300.5003,300.5003,300.07135,299.1611,299.8677,300.61227,300.61227,300.61227,302.16754,299.42453,299.42453,299.45303,301.4797,301.4797,299.24432,301.70746,301.70746,301.55222,301.55222,300.20172,300.20172,300.8963,298.21362,298.7148,298.21362,300.30988,300.30988,301.8517,297.80197,300.86652,297.80197,301.84448,301.4001,297.1269,297.1269,300.5014,301.1517,299.55188,296.70645,296.70645,296.70645,300.89072,301.39667,298.46756,300.15506,299.98618,299.44485,299.44485,299.44485,297.9532,297.9532,299.49808,298.47952,298.41135,298.52768,298.52768,298.52768,298.52768,299.1474,296.88846,296.52982,295.41403,295.70203,299.52502,295.39362,295.3191,298.2226,298.2226,298.2226,292.3319,293.09695
1850-12-01 00:00:00,297.06622,297.06622,297.06622,298.1291,291.09012,297.00674,298.83655,298.83655,298.83655,297.66953,297.15958,300.9657,295.17038,295.17038,295.17038,295.17038,295.17038,295.17038,298.93375,298.93375,299.63678,298.27246,299.37204,300.03168,300.03168,300.03168,301.27783,298.82358,298.82358,298.32007,300.75497,300.75497,299.3593,301.74393,301.74393,301.4876,301.4876,300.11453,300.11453,300.89066,298.15936,299.45877,298.15936,300.45108,300.45108,301.28925,298.16733,301.04446,298.16733,302.02994,301.2085,298.489,298.489,300.62396,300.933,300.287,296.80255,296.80255,296.80255,301.53915,301.58752,299.70755,300.96518,301.34756,299.91058,299.91058,299.91058,298.3128,298.3128,299.9386,299.0421,298.9511,299.57596,299.57596,299.57596,299.57596,299.44662,298.1449,297.69272,296.22714,297.12534,301.69653,296.98505,296.41003,299.68906,299.68906,299.68906,292.83667,295.1367
1851-01-01 00:00:00,295.10828,295.10828,295.10828,296.3427,283.00076,290.91684,297.5003,297.5003,297.5003,294.3361,294.82022,300.0032,292.56873,292.56873,292.56873,292.56873,292.56873,292.56873,296.5755,296.5755,298.6996,296.06445,298.5692,298.83643,298.83643,298.83643,300.34515,297.88513,297.88513,297.72192,299.63055,299.63055,298.56622,301.84924,301.84924,301.41544,301.41544,300.29254,300.29254,301.00348,298.44827,299.91193,298.44827,300.76254,300.76254,301.15408,298.3913,301.6304,298.3913,302.07343,300.97787,298.6138,298.6138,300.94598,301.56363,300.13007,297.28656,297.28656,297.28656,301.31662,301.17456,300.84744,300.90814,302.17145,301.0827,301.0827,301.0827,299.13135,299.13135,301.0772,300.23593,300.18457,300.64862,300.64862,300.64862,300.64862,299.56918,299.7169,298.7641,297.46277,298.08896,303.88022,298.61008,297.90305,300.40518,300.40518,300.40518,293.50424,298.55405
1851-02-01 00:00:00,294.17554,294.17554,294.17554,295.39877,280.91702,289.06555,297.00748,297.00748,297.00748,291.40228,293.8823,299.24454,291.2612,291.2612,291.2612,291.2612,291.2612,291.2612,296.00488,296.00488,297.94965,295.12064,297.7693,298.4925,298.4925,298.4925,299.59918,297.15704,297.15704,297.49533,298.6369,298.6369,298.06732,301.4731,301.4731,300.87238,300.87238,299.95248,299.95248,300.73526,298.29108,300.21704,298.29108,300.59784,300.59784,300.8771,299.17007,301.29984,299.17007,301.54282,300.41306,299.02814,299.02814,300.9439,301.72903,300.3903,297.19873,297.19873,297.19873,300.72662,300.84067,299.98572,300.54263,301.541,301.93027,301.93027,301.93027,299.91217,299.91217,302.3144,301.68924,301.6103,301.65137,301.65137,301.65137,301.65137,301.0752,300.89774,300.06396,298.40042,299.08484,302.7542,299.84406,299.2531,301.27832,301.27832,301.27832,294.75504,299.23096
1851-03-01 00:00:00,293.68286,293.68286,293.68286,294.7936,284.33716,291.01968,296.93448,296.93448,296.93448,295.61203,293.86237,298.76382,291.51166,291.51166,291.51166,291.51166,291.51166,291.51166,295.73062,295.73062,297.56857,295.2193,297.31186,298.1599,298.1599,298.1599,299.24207,296.86923,296.86923,297.43234,298.66357,298.66357,298.66208,301.35474,301.35474,300.95822,300.95822,300.2223,300.2223,300.84302,298.56516,300.30203,298.56516,300.61142,300.61142,300.7575,299.76215,301.3915,299.76215,301.4509,300.45743,300.35645,300.35645,300.7483,301.6499,299.99252,296.808,296.808,296.808,300.83478,300.89008,299.39926,300.29327,301.24426,302.04123,302.04123,302.04123,300.5369,300.5369,302.7179,301.99216,301.9009,302.0454,302.0454,302.0454,302.0454,301.98517,300.90604,300.89365,299.4285,299.93134,303.01736,300.14734,299.58298,301.3913,301.3913,301.3913,296.68912,301.21683
1851-04-01 00:00:00,293.71072,293.71072,293.71072,294.72025,287.82056,293.16144,297.31732,297.31732,297.31732,299.51306,295.0859,298.48685,295.52368,295.52368,295.52368,295.52368,295.52368,295.52368,296.49078,296.49078,297.70703,295.61694,297.15454,298.081,298.081,298.081,299.07773,296.70404,296.70404,297.93414,298.91946,298.91946,299.03284,301.35825,301.35825,301.1011,301.1011,300.58472,300.58472,301.10843,298.98056,301.0036,298.98056,300.76727,300.76727,301.20428,299.98883,301.4277,299.98883,301.40082,300.86176,301.40207,301.40207,300.64413,301.596,300.24777,296.82098,296.82098,296.82098,300.90463,300.86307,300.8126,300.16675,300.87155,301.72147,301.72147,301.72147,300.5513,300.5513,302.47684,301.90298,301.74472,302.06683,302.06683,302.06683,302.06683,301.56042,300.33322,300.89334,299.51196,299.61475,303.1895,299.4708,299.67642,301.04974,301.04974,301.04974,296.27362,298.04794
