time,CO02KUBE,CO05KUBE,CO00DRBE,CO08GOBE,CO94HEAQ,CO00FERA,CO96SWBB,CO96SWFB,CO99SWFB,CO98CHPI,CO17LITW01A,CO18RELC01A,CO17XISC01A,CO17DESC04A,CO17DESC01A,CO17DESC02A,CO17DESC03A,CO13DESC01A,CO17RAPA,CO17RAPA,CO08KIPR,CO06MOPE,CO10HEIG,CO13CABL,CO13CAHN,CO13CAHN,CO05ASGU,CO17WUBO1A,CO08HEVE,CO06MOTO,CO14WUCL,CO99LICL,CO94LISE,CO14OSPA,CO14OSPA,CO03COPM,CO11NUPM,CO13COTB,CO09NUTB,CO14CABT,CO98EVXM,CO98SWPR,CO13COXM,CO93COTW,CO00URMA,CO08ABSU,CO94DUUR,CO99GUMI,CO92SHPU,CO03CHBU,CO15ABSP,CO09NAKY,CO00COKY,CO04MGNG,CO06QUNG,CO97CHSY,CO01TUNG,CO01TUNG,CO95TUNG,CO17MUMA,CO04PFCH,CO06DATZ,CO03CHBA,CO14CATI,CO13HENG,CO13HENG,CO13HENG,CO18HECO01A,CO18HECO01B,CO96QUVA,CO04KIVA,CO12GOVA,CO06LIFI,CO05BAFI,CO04LIFI,CO04BAFI,CO98BOFP,CO07CAFR,CO18DATO01A,CO04PFRE,CO04LIRA,CO00KUNI,CO99DRGB,CO98QUNC,CO04ZIMG,CO14ZIMG,CO14ZIMG,CO14ZIHO,CO99KUHO
1850-02-01 00:00:00,292.7008,292.7008,292.7008,293.62015,283.90643,290.9616,295.66217,295.66217,295.66217,294.79907,294.46066,298.79605,291.72568,291.72568,291.72568,291.72568,291.72568,291.72568,295.695,295.695,298.5749,295.8262,298.44128,297.9612,297.9612,297.9612,299.7241,298.14136,298.14136,298.28177,298.2544,298.2544,298.09372,301.33484,301.33484,301.39322,301.39322,300.8486,300.8486,300.87454,299.06885,300.27402,299.06885,300.6725,300.6725,300.15182,299.39752,301.1934,299.39752,301.84656,300.02585,298.94983,298.94983,300.96112,301.82394,300.70013,297.41446,297.41446,297.41446,301.15887,301.34454,300.14664,300.4856,301.76865,302.37695,302.37695,302.37695,299.45477,299.45477,302.85538,302.72156,302.75116,301.94302,301.94302,301.94302,301.94302,301.5112,300.6327,300.48618,299.79767,299.80438,305.52097,299.5897,300.98157,302.29437,302.29437,302.29437,294.5779,299.9704
1850-03-01 00:00:00,292.204,292.204,292.204,293.1387,286.26413,292.33194,295.51382,295.51382,295.51382,296.04294,294.7216,298.37036,292.8582,292.8582,292.8582,292.8582,292.8582,292.8582,295.7437,295.7437,298.1683,294.84158,298.0538,297.6942,297.6942,297.6942,299.22397,297.95282,297.95282,298.2254,297.82617,297.82617,298.76602,300.98062,300.98062,301.2985,301.2985,300.829,300.829,301.03436,298.9577,300.60815,298.9577,300.88828,300.88828,300.48584,299.74356,301.43884,299.74356,301.12427,300.4354,299.535,299.535,300.6056,301.70367,301.09824,296.86987,296.86987,296.86987,300.75476,301.51315,300.14392,300.21933,300.9522,301.95218,301.95218,301.95218,300.3217,300.3217,303.23398,303.09512,303.124,302.4435,302.4435,302.4435,302.4435,301.65268,301.01727,301.52798,300.75388,299.97055,303.11157,299.64194,301.1969,301.96393,301.96393,301.96393,295.5026,299.3617
1850-04-01 00:00:00,291.90082,291.90082,291.90082,292.85446,290.78937,295.54163,295.70993,295.70993,295.70993,300.1975,295.3893,298.37067,294.48492,294.48492,294.48492,294.48492,294.48492,294.48492,296.0545,296.0545,298.18283,294.9779,297.86124,298.28177,298.28177,298.28177,299.0341,297.70035,297.70035,298.15646,298.13876,298.13876,299.1834,300.65912,300.65912,301.4091,301.4091,301.02203,301.02203,301.1345,299.21335,301.2419,299.21335,300.9066,300.9066,300.83673,299.84064,301.44608,299.84064,301.12985,300.75485,300.96558,300.96558,300.2356,300.98654,301.35022,296.47745,296.47745,296.47745,300.89966,301.65274,300.554,300.15518,300.85284,301.8131,301.8131,301.8131,300.6402,300.6402,302.4239,302.3401,302.5306,301.9141,301.9141,301.9141,301.9141,301.8726,300.65964,300.63547,300.67532,299.4438,303.06094,299.10364,300.51553,300.97076,300.97076,300.97076,296.95178,299.7772
1850-05-01 00:00:00,292.29495,292.29495,292.29495,293.2853,294.02875,296.84354,297.4365,297.4365,297.4365,303.39566,297.2514,298.81894,298.46362,298.46362,298.46362,298.46362,298.46362,298.46362,297.71536,297.71536,298.2264,294.91492,297.90363,299.26083,299.26083,299.26083,299.17563,297.51245,297.51245,298.5328,298.93903,298.93903,299.328,300.83588,300.83588,301.3149,301.3149,301.10556,301.10556,301.31122,299.3824,301.9574,299.3824,300.95108,300.95108,301.5487,299.37408,301.35297,299.37408,301.1896,301.2648,302.05493,302.05493,300.12006,301.0508,301.50922,296.4638,296.4638,296.4638,301.27777,302.0645,300.89044,300.37503,300.83905,301.46597,301.46597,301.46597,300.79794,300.79794,302.41907,302.039,301.96823,301.90866,301.90866,301.90866,301.90866,301.82483,299.7102,299.9066,299.40854,298.5085,300.8035,298.04498,299.7312,299.76233,299.76233,299.76233,297.09937,296.61627
1850-06-01 00:00:00,293.47577,293.47577,293.47577,294.30682,300.9312,302.72763,299.49615,299.49615,299.49615,304.53784,298.87738,300.13483,299.7705,299.7705,299.7705,299.7705,299.7705,299.7705,299.58832,299.58832,298.79,295.105,298.28656,300.42664,300.42664,300.42664,299.57437,297.87326,297.87326,298.9521,299.8433,299.8433,299.03845,301.2879,301.2879,301.45917,301.45917,301.397,301.397,301.853,300.0404,301.5397,300.0404,301.4027,301.4027,302.22205,297.7563,301.48532,297.7563,301.44656,301.9095,299.47916,299.47916,299.9559,301.07623,301.50696,296.42413,296.42413,296.42413,300.90756,302.24387,299.71396,299.97742,300.0008,299.84845,299.84845,299.84845,300.40372,300.40372,301.5201,300.62396,300.36835,301.14673,301.14673,301.14673,301.14673,300.42175,297.92075,299.1067,297.89005,297.39197,299.2916,296.1048,298.01303,298.07974,298.07974,298.07974,295.90378,293.52713
1850-07-01 00:00:00,296.10587,296.10587,296.10587,296.6612,304.26352,306.1938,300.75952,300.75952,300.75952,304.54193,300.85532,300.74637,299.92438,299.92438,299.92438,299.92438,299.92438,299.92438,301.00604,301.00604,299.21985,295.49115,298.70563,299.7479,299.7479,299.7479,300.0721,298.2308,298.2308,299.08264,300.76566,300.76566,298.45584,301.83582,301.83582,301.455,301.455,301.35165,301.35165,302.31567,300.39722,301.5431,300.39722,302.17328,302.17328,302.56628,296.55823,302.13495,296.55823,301.3802,301.82028,297.08502,297.08502,300.1183,299.8625,301.39816,296.0332,296.0332,296.0332,300.05405,302.07346,297.53616,299.27917,299.08978,298.24683,298.24683,298.24683,300.00052,300.00052,299.9935,298.98343,298.7104,299.4334,299.4334,299.4334,299.4334,299.28098,296.46262,297.9641,296.421,296.76376,296.97046,294.60242,296.31454,296.06567,296.06567,296.06567,294.6747,291.0473
1850-08-01 00:00:00,298.17746,298.17746,298.17746,298.7223,306.68207,308.13943,300.84875,300.84875,300.84875,303.22992,301.5145,300.85852,301.25778,301.25778,301.25778,301.25778,301.25778,301.25778,301.3302,301.3302,299.68237,296.25598,299.17786,300.18906,300.18906,300.18906,300.685,298.86655,298.86655,299.8665,301.14227,301.14227,298.7672,301.86752,301.86752,301.57062,301.57062,301.3763,301.3763,302.2609,300.06262,301.0942,300.06262,302.19223,302.19223,302.0357,295.43365,302.16333,295.43365,300.62714,301.1932,296.44193,296.44193,299.79507,298.9121,299.89062,295.53183,295.53183,295.53183,299.31256,301.3428,296.97116,298.44928,298.2621,297.6917,297.6917,297.6917,299.42776,299.42776,298.65292,297.6999,297.51422,298.10065,298.10065,298.10065,298.10065,298.45566,295.41495,296.55887,295.20737,295.7068,295.32858,293.69333,295.01987,295.28305,295.28305,295.28305,293.7476,290.29105
1850-09-01 00:00:00,299.5148,299.5148,299.5148,299.9828,306.35568,307.79816,301.34793,301.34793,301.34793,302.8756,301.951,301.2743,301.7053,301.7053,301.7053,301.7053,301.7053,301.7053,301.52795,301.52795,300.23337,297.82584,299.8157,300.65695,300.65695,300.65695,301.43246,299.72284,299.72284,300.68008,301.29123,301.29123,299.0494,302.394,302.394,301.69302,301.69302,301.04425,301.04425,302.20844,299.2188,299.8578,299.2188,301.64453,301.64453,301.24686,295.25186,301.82925,295.25186,300.507,300.04465,295.96866,295.96866,299.84955,298.7225,299.05188,295.79062,295.79062,295.79062,299.31137,301.16946,296.52573,298.04297,297.93185,297.90994,297.90994,297.90994,298.52368,298.52368,298.35638,297.2375,297.07553,297.6587,297.6587,297.6587,297.6587,298.3748,295.26056,295.84317,294.35913,295.2155,295.47736,293.56543,294.3015,295.0756,295.0756,295.0756,292.9931,290.88846
1850-10-01 00:00:00,299.6869,299.6869,299.6869,300.3151,301.74457,305.15103,300.87958,300.87958,300.87958,301.4313,301.91397,301.2265,301.45737,301.45737,301.45737,301.45737,301.45737,301.45737,301.20297,301.20297,300.24475,298.72568,299.9931,300.37662,300.37662,300.37662,302.06805,299.6826,299.6826,300.1595,301.36026,301.36026,299.10995,302.6311,302.6311,301.7307,301.7307,300.54193,300.54193,301.62192,298.21274,298.9477,298.21274,300.7629,300.7629,300.35208,296.0482,301.09448,296.0482,300.789,299.41687,296.47998,296.47998,300.0189,299.58322,299.8841,295.95303,295.95303,295.95303,299.9981,301.31488,296.97806,298.7916,298.39832,297.93134,297.93134,297.93134,297.8108,297.8108,298.40555,297.22067,296.9623,298.16907,298.16907,298.16907,298.16907,298.33026,295.22723,295.92636,294.29755,295.1119,297.22168,293.718,294.1512,296.25684,296.25684,296.25684,292.7326,292.30383
1850-11-01 00:00:00,298.71262,298.71262,298.71262,299.49622,296.05252,299.49252,300.04324,300.04324,300.04324,302.32657,300.89978,301.00583,299.99246,299.99246,299.99246,299.99246,299.99246,299.99246,300.87683,300.87683,299.85507,299.0659,299.73468,300.31024,300.31024,300.31024,301.81317,299.22208,299.22208,299.016,301.83444,301.83444,299.12137,302.4865,302.4865,301.52728,301.52728,299.94116,299.94116,300.83212,297.73627,299.04324,297.73627,300.1089,300.1089,300.47116,297.35187,300.57748,297.35187,301.25726,299.76346,297.79498,297.79498,300.36942,300.45557,300.3685,296.49573,296.49573,296.49573,300.6857,301.3873,298.5553,299.50336,299.35938,298.4906,298.4906,298.4906,297.878,297.878,298.79773,297.7597,297.62167,298.59314,298.59314,298.59314,298.59314,298.5383,296.02017,296.6081,295.00546,295.867,300.27554,294.6261,294.7465,298.88214,298.88214,298.88214,293.0047,294.80145
1850-12-01 00:00:00,296.44675,296.44675,296.44675,297.56635,287.63165,294.03415,298.90958,298.90958,298.90958,299.02597,298.9735,300.63293,296.74072,296.74072,296.74072,296.74072,296.74072,296.74072,299.98053,299.98053,299.50595,298.2261,299.33652,299.77716,299.77716,299.77716,300.90393,298.7707,298.7707,298.5749,301.463,301.463,299.2062,302.05832,302.05832,301.5586,301.5586,300.2148,300.2148,300.7686,298.5076,299.36288,298.5076,300.12262,300.12262,300.90176,297.6873,300.88797,297.6873,301.81284,300.14413,299.1619,299.1619,300.68558,300.972,300.98285,297.10486,297.10486,297.10486,301.55484,301.36777,299.89203,300.5205,300.9139,300.00098,300.00098,300.00098,298.52304,298.52304,299.83698,299.0189,298.92944,299.16656,299.16656,299.16656,299.16656,298.9146,297.58582,297.31604,296.68732,296.2864,302.55347,296.54868,296.21024,299.83987,299.83987,299.83987,293.46927,296.6702
1851-01-01 00:00:00,293.91177,293.91177,293.91177,295.173,283.34915,291.19772,296.99353,296.99353,296.99353,296.47687,296.97824,299.86133,294.13,294.13,294.13,294.13,294.13,294.13,298.73218,298.73218,298.729,295.9344,298.64343,298.75903,298.75903,298.75903,300.201,298.1184,298.1184,297.80923,299.73154,299.73154,298.49136,301.9141,301.9141,301.30508,301.30508,299.8492,299.8492,300.38828,298.07724,300.0459,298.07724,299.94067,299.94067,301.5652,298.30267,300.55502,298.30267,302.7606,300.98334,299.52325,299.52325,300.93793,301.0658,301.08325,297.36578,297.36578,297.36578,302.34818,301.5217,300.47195,301.375,302.2796,301.03217,301.03217,301.03217,299.19214,299.19214,300.38647,299.81802,299.8926,299.85226,299.85226,299.85226,299.85226,300.0824,299.0978,298.37775,298.4663,297.61523,303.28278,297.87048,297.45813,300.7895,300.7895,300.7895,294.54337,298.9829
1851-02-01 00:00:00,293.02148,293.02148,293.02148,294.2584,281.12338,289.6896,296.47537,296.47537,296.47537,294.84238,295.32773,299.05954,292.44913,292.44913,292.44913,292.44913,292.44913,292.44913,296.71848,296.71848,298.11768,294.74875,297.89355,298.24347,298.24347,298.24347,299.57373,297.42233,297.42233,297.56332,298.10364,298.10364,298.08508,301.75583,301.75583,300.86887,300.86887,299.69968,299.69968,299.94012,297.99576,299.99466,297.99576,299.40878,299.40878,301.20505,298.6869,300.0924,298.6869,302.3329,300.8184,299.7987,299.7987,301.16388,301.25058,300.67166,297.71295,297.71295,297.71295,301.90784,301.53464,299.52515,301.15472,302.27484,302.11688,302.11688,302.11688,300.8228,300.8228,301.9656,301.5339,301.4524,301.6792,301.6792,301.6792,301.6792,300.93732,299.93793,300.06714,299.45035,299.10614,303.15146,298.65906,299.09076,301.17514,301.17514,301.17514,296.15582,300.60684
1851-03-01 00:00:00,292.54416,292.54416,292.54416,293.57553,284.4193,291.03015,296.3102,296.3102,296.3102,295.73587,295.42358,298.56107,293.51657,293.51657,293.51657,293.51657,293.51657,293.51657,297.01282,297.01282,297.70404,294.74808,297.3149,298.0697,298.0697,298.0697,298.99323,296.85617,296.85617,297.64877,297.8735,297.8735,298.47504,301.22318,301.22318,300.60928,300.60928,299.79764,299.79764,299.91406,297.89655,300.33282,297.89655,299.38995,299.38995,301.30283,298.46176,299.67966,298.46176,301.85437,301.03613,301.61072,301.61072,300.97702,301.16473,299.99902,297.55493,297.55493,297.55493,301.48755,301.28363,299.46793,301.00662,301.8362,302.3573,302.3573,302.3573,301.13815,301.13815,302.46002,301.88702,301.7951,302.40067,302.40067,302.40067,302.40067,301.36826,300.5829,301.155,299.57816,299.9634,301.91644,299.55426,299.72906,300.312,300.312,300.312,297.53497,299.6879
1851-04-01 00:00:00,292.3328,292.3328,292.3328,293.22836,288.97485,293.9438,296.8404,296.8404,296.8404,300.234,296.3169,298.43295,295.23953,295.23953,295.23953,295.23953,295.23953,295.23953,297.3639,297.3639,297.91348,294.9191,297.4035,298.3865,298.3865,298.3865,299.03806,297.0658,297.0658,298.12268,298.44174,298.44174,298.83755,301.06985,301.06985,300.3306,300.3306,299.7818,299.7818,300.04904,298.17572,300.70343,298.17572,299.59164,299.59164,301.57117,299.06842,300.04538,299.06842,301.62125,301.00854,300.2538,300.2538,301.08664,301.1954,300.02142,297.64893,297.64893,297.64893,301.2598,300.9464,300.1534,300.6909,301.29733,302.0471,302.0471,302.0471,300.89166,300.89166,302.42978,302.05096,302.12238,302.21375,302.21375,302.21375,302.21375,301.70688,300.78262,301.19415,299.50323,300.1802,301.7378,299.3113,300.04898,301.00903,301.00903,301.00903,298.26685,298.13684
1851-05-01 00:00:00,292.81686,292.81686,292.81686,293.808,296.23203,298.84024,297.85233,297.85233,297.85233,304.4402,297.5279,299.06287,298.01367,298.01367,298.01367,298.01367,298.01367,298.01367,298.34225,298.34225,298.4452,295.26746,297.783,299.36963,299.36963,299.36963,299.60315,297.42468,297.42468,298.29922,299.2882,299.2882,299.02765,301.52298,301.52298,300.64923,300.64923,299.94455,299.94455,300.65286,298.06924,301.33972,298.06924,299.88104,299.88104,301.40768,298.84094,300.17633,298.84094,301.76205,301.14508,301.3402,301.3402,300.95618,301.0842,300.33252,297.25186,297.25186,297.25186,301.50372,300.63028,300.51318,300.99014,301.4857,302.15054,302.15054,302.15054,300.78854,300.78854,302.21057,301.5799,301.63315,301.68008,301.68008,301.68008,301.68008,301.5861,299.999,299.91653,298.74866,299.5346,301.18826,298.688,299.02652,299.8836,299.8836,299.8836,297.54016,296.61676
1851-06-01 00:00:00,294.1622,294.1622,294.1622,295.35406,299.90714,302.13275,299.1188,299.1188,299.1188,305.6416,299.4451,300.2003,300.62125,300.62125,300.62125,300.62125,300.62125,300.62125,299.80676,299.80676,298.87192,295.47098,298.21252,300.12518,300.12518,300.12518,300.27747,297.8665,297.8665,298.67703,300.27078,300.27078,298.7288,301.8276,301.8276,300.84415,300.84415,300.62787,300.62787,300.805,298.95428,301.22327,298.95428,299.98865,299.98865,301.7171,297.97604,300.2269,297.97604,302.10638,301.4128,299.21918,299.21918,300.81802,300.86847,301.05447,296.9423,296.9423,296.9423,301.8933,301.55722,298.9895,300.8378,300.5905,300.73434,300.73434,300.73434,300.19058,300.19058,300.96326,300.1658,299.99512,300.74158,300.74158,300.74158,300.74158,301.40118,298.5961,298.7656,297.48193,298.66486,298.44406,297.0648,297.60028,298.0489,298.0489,298.0489,296.51657,293.52197
