time,CO06LIFI,CO05BAFI,CO04LIFI,CO04BAFI,CO93COTW,CO00URMA,CO14CABT,CO04KIVA,CO96QUVA,CO99GUMI,CO98QUNC,CO12GOVA,CO99DRGB,CO13HENG,CO13HENG,CO13HENG,CO06QUNG,CO07CAFR,CO95TUNG,CO01TUNG,CO01TUNG,CO05ASGU,CO04MGNG,CO14OSPA,CO14OSPA,CO03CHBU,CO14CATI,CO17RAPA,CO17RAPA,CO17LITW01A,CO17MUMA,CO03CHBA,CO00KUNI,CO99KUHO,CO14ZIHO,CO17XISC01A,CO17DESC04A,CO17DESC01A,CO17DESC02A,CO17DESC03A,CO13DESC01A,CO15ABSP,CO08ABSU,CO18HECO01A,CO18HECO01B,CO04PFCH,CO97CHSY,CO04PFRE,CO00COKY,CO09NAKY,CO98SWPR,CO06MOPE,CO06MOTO,CO10HEIG,CO02KUBE,CO05KUBE,CO00DRBE,CO08GOBE,CO08HEVE,CO08KIPR,CO17WUBO1A,CO18RELC01A,CO96SWBB,CO96SWFB,CO99SWFB,CO94LISE,CO13CAHN,CO13CAHN,CO13CABL,CO92SHPU,CO94DUUR,CO99LICL,CO14WUCL,CO98BOFP,CO13COXM,CO98EVXM,CO13COTB,CO09NUTB,CO04LIRA,CO03COPM,CO11NUPM,CO18DATO01A
1850-02-01 00:00:00,0.15676022,0.15676022,0.15676022,0.15676022,0.3055334,0.30958652,0.28944016,0.1937151,0.20110607,0.3348589,0.36025047,0.20182133,0.369668,0.23937225,0.23937225,0.23937225,0.32103062,0.32913685,0.14078617,0.14078617,0.14078617,0.06496906,0.1296997,-0.08183718,-0.08183718,-0.28139353,-0.243783,0.071287155,0.071287155,0.11241436,-0.41788816,-0.5046129,-0.108361244,0.09405613,0.09405613,-0.14960766,-0.14960766,-0.14960766,-0.14960766,-0.14960766,-0.14960766,-0.521183,-0.5699992,-0.25498867,-0.25498867,-0.056684017,0.06890297,0.123500824,0.13267994,0.1348257,-0.028908253,0.6096363,0.5352497,0.7055998,0.9047985,0.9047985,0.9047985,0.9328127,0.64122677,0.83851814,0.6707907,0.77426434,0.7523298,0.7529259,0.7529259,-0.03528595,0.72312355,0.72312355,0.7305145,0.09548664,0.12683868,0.030875206,0.030875206,0.5054474,0.26071072,0.25892258,0.25725365,0.25725365,0.29349327,0.25177002,0.25177002,0.24211407
1850-03-01 00:00:00,0.13303757,0.13303757,0.13303757,0.13303757,0.30505657,0.3106594,0.28920174,0.17809868,0.18191338,0.33152103,0.3670454,0.18715858,0.37002563,0.182271,0.182271,0.182271,0.30136108,0.25498867,0.09393692,0.09393692,0.09393692,0.04374981,0.09918213,-0.074744225,-0.074744225,-0.19139051,-0.2874136,0.11610985,0.11610985,0.14328957,-0.48094988,-0.3785491,-0.22238493,0.05185604,0.05185604,-0.07069111,-0.07069111,-0.07069111,-0.07069111,-0.07069111,-0.07069111,-0.46730042,-0.53584576,-0.18620491,-0.18620491,-0.042676926,0.09787083,0.13899803,0.16582012,0.17035007,0.0641346,0.590682,0.55110455,0.7007122,0.9086132,0.9086132,0.9086132,0.9378195,0.6455183,0.8331537,0.672102,0.7766485,0.7760525,0.7750988,0.7750988,0.018715858,0.7417202,0.7417202,0.7431507,0.12600422,0.15819073,0.0667572,0.0667572,0.45120716,0.2542734,0.25105476,0.2552271,0.2552271,0.2567768,0.26285648,0.26285648,0.21386147
1850-04-01 00:00:00,0.12886524,0.12886524,0.12886524,0.12886524,0.31638145,0.3219843,0.300169,0.16927719,0.16748905,0.33426285,0.3529787,0.17428398,0.37121773,0.16880035,0.16880035,0.16880035,0.29170513,0.27501583,0.0436306,0.0436306,0.0436306,0.05221367,0.05865097,-0.112473965,-0.112473965,-0.35196543,-0.36871433,0.12457371,0.12457371,0.16498566,-0.58072805,-0.3259182,-0.24276972,0.05221367,0.05221367,-0.05966425,-0.05966425,-0.05966425,-0.05966425,-0.05966425,-0.05966425,-0.40864944,-0.52016973,-0.2360344,-0.2360344,-0.01168251,0.12302399,0.124931335,0.16713142,0.18537045,0.15854836,0.58555603,0.5606413,0.6887913,0.906229,0.906229,0.906229,0.9356737,0.63860416,0.8301735,0.67424774,0.79119205,0.8019209,0.8023977,0.8023977,0.07081032,0.77211857,0.77211857,0.7683039,0.11086464,0.14936924,0.104665756,0.104665756,0.40340424,0.25951862,0.25844574,0.26464462,0.26464462,0.2411604,0.2708435,0.2708435,0.22566319
1850-05-01 00:00:00,0.083088875,0.083088875,0.083088875,0.083088875,0.32866,0.33068657,0.31781197,0.18954277,0.19276142,0.3424883,0.33950806,0.19586086,0.3848076,0.17106533,0.17106533,0.17106533,0.21386147,0.32138824,-0.021517277,-0.021517277,-0.021517277,0.07069111,0.02014637,-0.042319298,-0.042319298,-0.40477514,-0.36489964,0.10454655,0.10454655,0.14996529,-0.60522556,-0.46515465,-0.2078414,0.043153763,0.043153763,-0.06300211,-0.06300211,-0.06300211,-0.06300211,-0.06300211,-0.06300211,-0.4723072,-0.5379915,-0.19204617,-0.19204617,0.028252602,0.1578331,0.12099743,0.11539459,0.13148785,0.18167496,0.58734417,0.57673454,0.67424774,0.9114742,0.9114742,0.9114742,0.94652176,0.60117245,0.82051754,0.65529346,0.8138418,0.8108616,0.8087158,0.8087158,0.12302399,0.80633163,0.80633163,0.8022785,0.08881092,0.14710426,0.1386404,0.1386404,0.37252903,0.27048588,0.26869774,0.27298927,0.27298927,0.27489662,0.27763844,0.27763844,0.2156496
1850-06-01 00:00:00,0.095009804,0.095009804,0.095009804,0.095009804,0.3322363,0.33199787,0.31507015,0.1963377,0.18715858,0.33974648,0.338912,0.20587444,0.39887428,0.16450882,0.16450882,0.16450882,0.25200844,0.34999847,-0.077188015,-0.077188015,-0.077188015,0.08404255,-0.03105402,-0.032663345,-0.032663345,-0.5696416,-0.32424927,0.06341934,0.06341934,0.098228455,-0.70899725,-0.5504489,-0.18638372,0.03492832,0.03492832,-0.07879734,-0.07879734,-0.07879734,-0.07879734,-0.07879734,-0.07879734,-0.49048662,-0.5261302,-0.15580654,-0.15580654,0.056385994,0.16021729,0.14173985,0.03528595,0.042438507,0.106453896,0.6018877,0.5903244,0.6759167,0.9241104,0.9241104,0.9241104,0.95534325,0.5867481,0.8331537,0.6272793,0.8301735,0.8240938,0.82182884,0.82182884,0.14281273,0.8302927,0.8302927,0.8286238,0.13697147,0.19013882,0.17011166,0.17011166,0.4183054,0.27632713,0.27394295,0.27501583,0.27501583,0.29814243,0.2784729,0.2784729,0.20933151
1850-07-01 00:00:00,0.111579895,0.111579895,0.111579895,0.111579895,0.33473969,0.33724308,0.32258034,0.20217896,0.20289421,0.31852722,0.3466606,0.21028519,0.4094839,0.22101402,0.22101402,0.22101402,0.25105476,0.3656149,0.025510788,0.025510788,0.025510788,0.108361244,0.0076293945,-0.07253885,-0.07253885,-0.47820807,-0.2861619,-0.0037550926,-0.0037550926,0.06651878,-0.58305264,-0.5748272,-0.15646219,0.03862381,0.03862381,-0.075638294,-0.075638294,-0.075638294,-0.075638294,-0.075638294,-0.075638294,-0.3710389,-0.4502535,-0.1834631,-0.1834631,0.06902218,0.12862682,0.1667738,0.047683716,0.046610832,0.052809715,0.60772896,0.5594492,0.68354607,0.92732906,0.92732906,0.92732906,0.9752512,0.592947,0.8434057,0.60606,0.8302927,0.8391142,0.83708763,0.83708763,0.06341934,0.8368492,0.8368492,0.841856,0.19168854,0.2104044,0.16391277,0.16391277,0.44834614,0.29325485,0.29194355,0.28252602,0.28252602,0.3119707,0.27358532,0.27358532,0.20635128
1850-08-01 00:00:00,0.16415119,0.16415119,0.16415119,0.16415119,0.33831596,0.34165382,0.31781197,0.19919872,0.19562244,0.3193617,0.36108494,0.21100044,0.41759014,0.24938583,0.24938583,0.24938583,0.20647049,0.37503242,0.12803078,0.12803078,0.12803078,0.13661385,0.15115738,-0.11134148,-0.11134148,-0.3542304,-0.23847818,-0.07236004,-0.07236004,0.02014637,-0.5605221,-0.5258918,-0.11891127,0.0500679,0.0500679,-0.10287762,-0.10287762,-0.10287762,-0.10287762,-0.10287762,-0.10287762,-0.18453598,-0.24080276,-0.18042326,-0.18042326,-0.0037550926,0.0641346,0.14436245,0.062823296,0.060081482,0.15926361,0.6263256,0.37002563,0.6877184,0.9287596,0.9287596,0.9287596,0.9920597,0.5711317,0.8251667,0.5964041,0.831604,0.8481741,0.84364414,0.84364414,-0.03695488,0.833869,0.833869,0.8479357,0.16772747,0.19466877,0.11527538,0.11527538,0.4786253,0.29540062,0.29301643,0.28836727,0.28836727,0.33915043,0.27239323,0.27239323,0.24020672
1850-09-01 00:00:00,0.20754337,0.20754337,0.20754337,0.20754337,0.33855438,0.33974648,0.32901764,0.20647049,0.20742416,0.33807755,0.36621094,0.21159649,0.4208088,0.23531914,0.23531914,0.23531914,0.16403198,0.37050247,0.17786026,0.17786026,0.17786026,0.14519691,0.1988411,-0.12636185,-0.12636185,-0.38212538,-0.20873547,-0.12123585,-0.12123585,-0.035107136,-0.5900264,-0.54222345,-0.07766485,0.06520748,0.06520748,-0.1513958,-0.1513958,-0.1513958,-0.1513958,-0.1513958,-0.1513958,0.018239021,-0.063836575,-0.1796484,-0.1796484,-0.017762184,0.016570091,0.09393692,0.09167194,0.09000301,0.23674965,0.6402731,0.29098988,0.67937374,0.92732906,0.92732906,0.92732906,1.0027885,0.49996376,0.7864237,0.5503893,0.82719326,0.8363724,0.8312464,0.8312464,-0.08225441,0.8163452,0.8163452,0.83720684,0.15997887,0.17368793,0.04184246,0.04184246,0.4850626,0.28538704,0.28419495,0.28836727,0.28836727,0.35464764,0.28443336,0.28443336,0.2616644
1850-10-01 00:00:00,0.23138523,0.23138523,0.23138523,0.23138523,0.3197193,0.3246069,0.3197193,0.22757053,0.23293495,0.34224987,0.374794,0.23150444,0.4194975,0.24998188,0.24998188,0.24998188,0.23150444,0.36394596,0.19741058,0.19741058,0.19741058,0.13637543,0.18167496,-0.14793873,-0.14793873,-0.47630072,-0.18566847,-0.15240908,-0.15240908,-0.13446808,-0.5916357,-0.5391836,-0.043034554,0.08940697,0.08940697,-0.2565384,-0.2565384,-0.2565384,-0.2565384,-0.2565384,-0.2565384,0.0009536743,-0.11128187,-0.20676851,-0.20676851,-0.03272295,0.026106834,0.07712841,0.11193752,0.10848045,0.23174286,0.6427765,0.4093647,0.6722212,0.9189844,0.9189844,0.9189844,0.9918213,0.5043745,0.7625818,0.53691864,0.81312656,0.818491,0.8120537,0.8120537,-0.16540289,0.78833103,0.78833103,0.8100271,0.16629696,0.17511845,0.023245811,0.023245811,0.5043745,0.25987625,0.25820732,0.2760887,0.2760887,0.37539005,0.29695034,0.29695034,0.2619028
1850-11-01 00:00:00,0.25987625,0.25987625,0.25987625,0.25987625,0.31208992,0.3207922,0.31673908,0.2565384,0.25248528,0.34594536,0.38075447,0.2580881,0.4156828,0.264287,0.264287,0.264287,0.30004978,0.3579855,0.19907951,0.19907951,0.19907951,0.13411045,0.18703938,-0.18268824,-0.18268824,-0.38820505,-0.166893,-0.1475811,-0.1475811,-0.08678436,-0.5146861,-0.4940629,-0.00923872,0.11706352,0.11706352,-0.28544664,-0.28544664,-0.28544664,-0.28544664,-0.28544664,-0.28544664,-0.13309717,-0.23561716,-0.20515919,-0.20515919,-0.124812126,0.042319298,0.06878376,0.13911724,0.13804436,0.13709068,0.64206123,0.50628185,0.6496906,0.9082556,0.9082556,0.9082556,0.9714365,0.53834915,0.74994564,0.5578995,0.805974,0.77939034,0.7761717,0.7761717,-0.3002882,0.7510185,0.7510185,0.7724762,0.17416477,0.16605854,-0.025212765,-0.025212765,0.5249977,0.26500225,0.26381016,0.2757311,0.2757311,0.39470196,0.29826164,0.29826164,0.2733469
